symbol	anterior	approximant	back	consonantal	constricted glottis	continuant	coronal	delayed_release	diphthong	distributed	dorsal	front	front-diphthong	high	labial	labiodental	lateral	long	low	nasal	round	segment	sonorant	spread glottis	stress	strident	syllabic	tap	tense	trill	voice
ʙ	0	1	0	1	-1	1	-1	0	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	1	-1	-1	0	-1	-1	0	1	1
ɶː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	0	1	-1	0	-1	1
ɰ	0	1	0	-1	-1	1	-1	0	0	0	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	1	-1	1
ŋ̟	0	-1	0	1	-1	-1	-1	0	0	0	1	0	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	-1	-1	0	-1	1
b̥	0	-1	0	1	-1	-1	-1	-1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɧ	-1	-1	0	1	-1	1	1	1	0	1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ɑ	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ɪ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	-1
ɪː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
d͡ʑ	1	-1	-1	1	-1	-1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
k̟x̟	0	-1	-1	1	-1	-1	-1	1	0	0	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
